,whale,k,pool_ratio,size,duration,search_ratio,gas_fee,performance
0,0.0,0,0.05,100,100,0.5,0.0,0.6496
0,0.0,0,0.05,100,100,0.5,0.05,0.6456
0,0.0,0,0.05,100,100,0.5,0.2,0.642
0,0.0,0,0.05,100,100,1.0,0.0,0.6372
0,0.0,0,0.05,100,100,1.0,0.05,0.6482
0,0.0,0,0.05,100,100,1.0,0.2,0.6508
0,0.0,0,0.2,100,100,0.01,0.0,0.5402
0,0.0,0,0.2,100,100,0.01,0.05,0.4706
0,0.0,0,0.2,100,100,0.01,0.2,0.5196
0,0.0,0,0.2,100,100,0.05,0.0,0.681
0,0.0,0,0.2,100,100,0.05,0.05,0.6664
0,0.0,0,0.2,100,100,0.05,0.2,0.6846
0,0.0,0,0.2,100,100,0.2,0.0,0.703
0,0.0,0,0.2,100,100,0.2,0.05,0.6966
0,0.0,0,0.2,100,100,0.2,0.2,0.6904
0,0.0,0,0.2,100,100,0.5,0.0,0.6842
0,0.0,0,0.2,100,100,0.5,0.05,0.6698
0,0.0,0,0.2,100,100,0.5,0.2,0.6706
0,0.0,0,0.2,100,100,1.0,0.0,0.6516
0,0.0,0,0.2,100,100,1.0,0.05,0.6436
0,0.0,0,0.2,100,100,1.0,0.2,0.6696
0,0.0,0,0.5,100,100,0.01,0.0,0.5278
0,0.0,0,0.5,100,100,0.01,0.05,0.5014
0,0.0,0,0.5,100,100,0.01,0.2,0.619
0,0.0,0,0.5,100,100,0.05,0.0,0.6922
0,0.0,0,0.5,100,100,0.05,0.05,0.6836
0,0.0,0,0.5,100,100,0.05,0.2,0.6924
0,0.0,0,0.5,100,100,0.2,0.0,0.731
0,0.0,0,0.5,100,100,0.2,0.05,0.74
0,0.0,0,0.5,100,100,0.2,0.2,0.7302
0,0.0,0,0.5,100,100,0.5,0.0,0.6928
0,0.0,0,0.5,100,100,0.5,0.05,0.6924
0,0.0,0,0.5,100,100,0.5,0.2,0.6932
0,0.0,0,0.5,100,100,1.0,0.0,0.6636
0,0.0,0,0.5,100,100,1.0,0.05,0.6642
0,0.0,0,0.5,100,100,1.0,0.2,0.6664
0,0.0,5,0.05,100,1,0.01,0.0,0.4994
0,0.0,5,0.05,100,1,0.01,0.05,0.4008
0,0.0,5,0.05,100,1,0.01,0.2,0.539
0,0.0,5,0.05,100,1,0.05,0.0,0.5002
0,0.0,5,0.05,100,1,0.05,0.05,0.5202
0,0.0,5,0.05,100,1,0.05,0.2,0.499
0,0.0,5,0.05,100,1,0.2,0.0,0.4846
0,0.0,5,0.05,100,1,0.2,0.05,0.5604
0,0.0,5,0.05,100,1,0.2,0.2,0.5352
0,0.0,5,0.05,100,1,0.5,0.0,0.569
0,0.0,5,0.05,100,1,0.5,0.05,0.5642
0,0.0,5,0.05,100,1,0.5,0.2,0.5336
0,0.0,5,0.05,100,1,1.0,0.0,0.678
0,0.0,5,0.05,100,1,1.0,0.05,0.6632
0,0.0,5,0.05,100,1,1.0,0.2,0.675
0,0.0,5,0.2,100,1,0.01,0.0,0.481
0,0.0,5,0.2,100,1,0.01,0.05,0.4508
0,0.0,5,0.2,100,1,0.01,0.2,0.4498
0,0.0,5,0.2,100,1,0.05,0.0,0.4834
0,0.0,5,0.2,100,1,0.05,0.05,0.4902
0,0.0,5,0.2,100,1,0.05,0.2,0.4444
0,0.0,5,0.2,100,1,0.2,0.0,0.4776
0,0.0,5,0.2,100,1,0.2,0.05,0.5302
0,0.0,5,0.2,100,1,0.2,0.2,0.4954
0,0.0,5,0.2,100,1,0.5,0.0,0.6854
0,0.0,5,0.2,100,1,0.5,0.05,0.7192
